,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,okhotsk,90,RU,1569006243,78,43.98,59.36,143.24,5.61
1,hasaki,75,JP,1569006194,82,68.0,35.73,140.83,8.05
2,kapaa,40,US,1569005906,78,80.6,22.08,-159.32,12.75
3,tezu,52,IN,1569006679,74,73.32,27.93,96.16,3.11
4,hermanus,24,ZA,1569006122,87,59.0,-34.42,19.24,1.01
5,misratah,0,LY,1569006402,74,80.34,32.38,15.09,11.05
6,prince rupert,90,CA,1569006159,72,59.0,54.32,-130.32,10.29
7,tasiilaq,75,GL,1569006124,65,41.0,65.61,-37.64,13.87
8,tuktoyaktuk,40,CA,1569006174,93,37.4,69.44,-133.03,6.93
9,rikitea,17,PF,1569006110,90,74.04,-23.12,-134.97,15.28
10,chokurdakh,0,RU,1569006183,89,25.62,70.62,147.9,7.27
11,methoni,0,GR,1569006331,69,77.0,36.82,21.7,9.17
12,barrow,0,AR,1569006113,35,60.36,-38.31,-60.23,16.93
13,nouadhibou,0,MR,1569006128,73,73.4,20.93,-17.03,16.11
14,jewar,40,IN,1569006681,78,87.01,28.12,77.56,5.82
15,hilo,1,US,1569006127,69,78.8,19.71,-155.08,3.36
16,superior,1,US,1569006682,31,88.0,39.95,-105.17,5.82
17,mataura,66,NZ,1569006109,93,46.0,-46.19,168.86,1.01
18,berlevag,75,NO,1569006162,93,39.2,70.86,29.09,13.87
19,redmond,90,US,1569006682,68,64.99,47.67,-122.12,3.42
20,kodiak,40,US,1569006110,58,87.01,39.95,-94.76,11.41
21,alenquer,0,BR,1569006188,52,91.4,-1.95,-54.74,11.41
22,maniitsoq,100,GL,1569006305,93,37.86,65.42,-52.9,39.57
23,arraial do cabo,75,BR,1569006131,78,80.6,-22.97,-42.02,9.17
24,ocos,75,GT,1569006683,52,91.4,14.51,-92.19,4.7
25,punta arenas,75,CL,1569006136,86,39.2,-53.16,-70.91,36.91
26,saint george,90,GR,1569006128,77,66.2,39.45,22.34,0.27
27,bonfim,59,GY,1569006166,37,96.9,3.36,-59.84,9.93
28,gribanovskiy,1,RU,1569006684,86,45.0,51.46,41.98,7.2
29,mandalgovi,3,MN,1569006283,43,53.88,45.76,106.27,8.32
30,tarquinia,0,IT,1569006685,73,73.4,42.25,11.76,3.36
31,atuona,35,PF,1569006118,76,80.34,-9.8,-139.03,14.54
32,port elizabeth,1,US,1569006134,41,79.0,39.31,-74.98,6.93
33,pauri,0,IN,1569006685,91,66.12,30.15,78.78,3.76
34,puerto ayora,75,EC,1569006111,61,77.0,-0.74,-90.35,18.34
35,fortuna,20,US,1569006197,68,70.0,40.6,-124.16,12.75
36,ous,21,RU,1569006686,82,34.62,60.91,61.52,6.78
37,adrar,44,DZ,1569006466,11,105.8,27.87,-0.29,5.82
38,ponta do sol,0,BR,1569006141,13,95.82,-20.63,-46.0,6.98
39,senekal,0,ZA,1569006687,21,63.24,-28.32,27.62,6.8
40,sao joao da barra,0,BR,1569006220,51,86.0,-21.64,-41.05,20.8
41,port alfred,66,ZA,1569006153,85,64.99,-33.59,26.89,1.99
42,pevek,100,RU,1569006122,96,33.36,69.7,170.27,18.19
